env,k,elapse,profit
0,2,32,1806.95
0,2,32,2060.375
0,2,32,2117.85
0,2,32,2060.375
0,2,32,1869.1
0,2,32,2455.35
0,2,32,2625.7
0,2,32,1864.975
0,2,32,2689.4
0,2,32,1907.0
0,2,32,2441.325
0,2,32,2221.475
0,2,32,2728.85
0,2,32,1905.8
0,2,32,2032.8
0,2,32,2246.6
0,2,64,1746.925
0,2,64,2571.675
0,2,64,2073.175
0,2,64,1799.35
0,2,64,2357.575
0,2,64,2325.05
0,2,64,2136.425
0,2,64,1708.4
0,2,64,2792.9
0,2,64,1923.525
0,2,64,1885.4
0,2,64,2202.875
0,2,64,2685.575
0,2,64,2626.45
0,2,64,2612.425
0,2,64,2126.95
